Fiscal Year,Agency Code,Agency Name,Unit Code,Unit Name,Program Code,Program Name,Subprogram Code,Subprogram Name,Object Code,Object Name,Comptroller Subobject Code,Comptroller Subobject Name,Agency Subobject Code,Agency Subobject Name,Fund Type Name,Budget,Organization Code,Category,Category Title
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",1,Instruction,0,Program Generated Automatically,2,Technical and Special Fees,299,Other - Technical and Special Fees,299,OTHER - TECHNICAL AND SPECIAL FEES,Current Restricted Funds,"11,100",R30_B22_01,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",2,Research,0,Program Generated Automatically,2,Technical and Special Fees,220,Special Payments Payroll,220,Special Payments Payroll,Current Restricted Funds,"828,621",R30_B22_02,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Program Generated Automatically,11,Equipment - Additional,1115,Office Equipment,1115,OFFICE EQUIPMENT,Current Unrestricted Funds,"2,347",R30_B22_05,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",2,Research,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",104,Overtime Earnings,104,OVERTIME EARNINGS,Current Unrestricted Funds,"133,921",R30_B22_02,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",2,Research,0,Program Generated Automatically,8,Contractual Services,899,Other Contractual Services-Non DP,899,OTHER CONTRACTUAL SERVICES-NON DP,Current Unrestricted Funds,"6,508,253",R30_B22_02,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",7,Operation and Maintenance of Plant,0,Program Generated Automatically,11,Equipment - Additional,1113,Maintenance and Building Equipment,1113,Maintenance and Building Equipment,Current Unrestricted Funds,"107,685",R30_B22_07,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",2,Research,0,Program Generated Automatically,7,Motor Vehicle Operation and Maintenance,732,Maintenance and Repair,732,MAINTENANCE AND REPAIR,Current Unrestricted Funds,"170,703",R30_B22_02,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,3,Communications,303,Telecommunications,303,Telecommunications,Current Unrestricted Funds,"7,215",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Program Generated Automatically,4,Travel,401,In State/Routine Operations,401,In State/Routine Operations,Current Restricted Funds,"7,795",R30_B22_05,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,13,Fixed Charges,1302,Insurance Coverage Paid To STO,1302,Insurance Coverage Paid To STO,Current Restricted Funds,"3,177",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",1,Instruction,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",110,Miscellaneous Adjustments,110,Miscellaneous Adjustments,Current Unrestricted Funds,"669,847",R30_B22_01,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",7,Operation and Maintenance of Plant,0,Program Generated Automatically,12,"Grants, Subsidies, and Contributions",1204,Educational Grants,1204,EDUCATIONAL GRANTS,Current Restricted Funds,"12,692",R30_B22_07,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",8,Auxiliary Enterprises,0,Program Generated Automatically,4,Travel,401,In State/Routine Operations,401,In State/Routine Operations,Current Unrestricted Funds,"3,847,812",R30_B22_08,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",2,Research,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",110,Miscellaneous Adjustments,110,Miscellaneous Adjustments,Current Unrestricted Funds,"1,130,072",R30_B22_02,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,6,Fuel and Utilities,606,Fuel - Natural Gas/Propane,606,Fuel - Natural Gas/Propane,Current Restricted Funds,"34,531",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",4,Academic Support,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",163,Teachers' Retirement System,163,Teachers' Retirement System,Current Unrestricted Funds,"262,439",R30_B22_04,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",2,Research,0,Program Generated Automatically,7,Motor Vehicle Operation and Maintenance,701,Purchase Cost Or Lease Cost,701,Purchase Cost Or Lease Cost,Current Unrestricted Funds,"43,164",R30_B22_02,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",102,Additional Assistance,102,ADDITIONAL ASSISTANCE,Current Restricted Funds,"5,541,249",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",2,Research,0,Program Generated Automatically,7,Motor Vehicle Operation and Maintenance,710,Purchase Cost Or Lease Cost,710,Purchase Cost Or Lease Cost,Current Restricted Funds,"52,169",R30_B22_02,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Program Generated Automatically,13,Fixed Charges,1305,Association Dues,1305,ASSOCIATION DUES,Current Unrestricted Funds,"640,600",R30_B22_06,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",1,Instruction,0,Program Generated Automatically,7,Motor Vehicle Operation and Maintenance,703,Maintenance and Repair,703,MAINTENANCE AND REPAIR,Current Unrestricted Funds,"3,769",R30_B22_01,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",1,Instruction,0,Program Generated Automatically,13,Fixed Charges,1399,Other,1399,OTHER,Current Unrestricted Funds,"59,595",R30_B22_01,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Program Generated Automatically,9,Supplies and Materials,904,Building and Household,904,BUILDING AND HOUSEHOLD,Current Unrestricted Funds,"4,519",R30_B22_05,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",4,Academic Support,0,Program Generated Automatically,6,Fuel and Utilities,606,Fuel - Natural Gas/Propane,606,Fuel - Natural Gas/Propane,Current Unrestricted Funds,"5,627",R30_B22_04,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",154,Retirees Health Insurance Premiums,154,Retirees Health Insurance Premiums,Current Restricted Funds,"1,244,164",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,2,Technical and Special Fees,220,Special Payments Payroll,220,Special Payments Payroll,Current Restricted Funds,"216,939",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",152,Health Insurance,152,HEALTH INSURANCE,Current Unrestricted Funds,"8,361,158",R30_B22_06,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Program Generated Automatically,8,Contractual Services,897,Enterprise Budget System Allocation,897,Enterprise Budget System Allocation,Current Unrestricted Funds,"1,333,893",R30_B22_06,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",104,Overtime Earnings,104,OVERTIME EARNINGS,Current Restricted Funds,"32,056",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,13,Fixed Charges,1301,Rent (Non-DGS),1301,RENT (NON-DGS),Current Restricted Funds,"1,286,102",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",1,Instruction,0,Program Generated Automatically,8,Contractual Services,805,Bookbinding/Photographic,805,Bookbinding/Photographic,Current Restricted Funds,421,R30_B22_01,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Program Generated Automatically,8,Contractual Services,805,Bookbinding/Photographic,805,Bookbinding/Photographic,Current Unrestricted Funds,"4,430",R30_B22_05,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",4,Academic Support,0,Program Generated Automatically,7,Motor Vehicle Operation and Maintenance,704,Insurance,704,INSURANCE,Current Unrestricted Funds,"16,342",R30_B22_04,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Program Generated Automatically,6,Fuel and Utilities,621,Utilities - Water/Sewage,621,UTILITIES - WATER/SEWAGE,Current Unrestricted Funds,"117,500",R30_B22_05,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",7,Operation and Maintenance of Plant,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",175,Workers' Compensation,175,Workers' Compensation,Current Unrestricted Funds,"29,415",R30_B22_07,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",1,Instruction,0,Program Generated Automatically,11,Equipment - Additional,1199,Other Equipment,1199,OTHER EQUIPMENT,Current Unrestricted Funds,"15,268",R30_B22_01,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",8,Auxiliary Enterprises,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",151,Social Security Contributions,151,Social Security Contributions,Current Unrestricted Funds,"6,033,548",R30_B22_08,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Program Generated Automatically,2,Technical and Special Fees,220,Special Payments Payroll,220,Special Payments Payroll,Current Unrestricted Funds,"20,600",R30_B22_05,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",8,Auxiliary Enterprises,0,Program Generated Automatically,8,Contractual Services,804,Printing/Reproduction,804,PRINTING/REPRODUCTION,Current Unrestricted Funds,"868,124",R30_B22_08,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",2,Research,0,Program Generated Automatically,7,Motor Vehicle Operation and Maintenance,705,Garage Rent,705,Garage Rent,Current Unrestricted Funds,"1,260",R30_B22_02,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Program Generated Automatically,13,Fixed Charges,1309,Insurance (Non-STO Payments),1309,INSURANCE (NON-STO PAYMENTS),Current Unrestricted Funds,675,R30_B22_06,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Program Generated Automatically,7,Motor Vehicle Operation and Maintenance,702,Gas and Oil,702,GAS AND OIL,Current Unrestricted Funds,468,R30_B22_05,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Program Generated Automatically,13,Fixed Charges,1301,Rent (Non-DGS),1301,RENT (NON-DGS),Current Unrestricted Funds,"406,092",R30_B22_05,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Program Generated Automatically,8,Contractual Services,811,Food Services,811,FOOD SERVICES,Current Unrestricted Funds,"695,575",R30_B22_06,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Program Generated Automatically,9,Supplies and Materials,902,Office Supplies,902,Office Supplies,Current Unrestricted Funds,"1,053,637",R30_B22_06,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Program Generated Automatically,8,Contractual Services,899,Other Contractual Services-Non DP,899,OTHER CONTRACTUAL SERVICES-NON DP,Current Unrestricted Funds,"5,925,698",R30_B22_05,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",7,Operation and Maintenance of Plant,0,Program Generated Automatically,6,Fuel and Utilities,606,Fuel - Natural Gas/Propane,606,Fuel - Natural Gas/Propane,Current Unrestricted Funds,"10,396,769",R30_B22_07,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",2,Research,0,Program Generated Automatically,8,Contractual Services,808,Equip Rental(Other Than Data Processing),808,EQUIP RENTAL(OTHER THAN DATA PROCESSING),Current Unrestricted Funds,"295,036",R30_B22_02,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,13,Fixed Charges,1309,Insurance (Non-STO Payments),1309,INSURANCE (NON-STO PAYMENTS),Current Unrestricted Funds,"5,528",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",151,Social Security Contributions,151,Social Security Contributions,Current Restricted Funds,961,R30_B22_05,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,9,Supplies and Materials,908,Housekeeping,908,HOUSEKEEPING,Current Restricted Funds,"1,704",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",2,Research,0,Program Generated Automatically,13,Fixed Charges,1399,Other,1399,OTHER,Current Restricted Funds,"1,350,617",R30_B22_02,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",1,Instruction,0,Program Generated Automatically,2,Technical and Special Fees,201,Honorariums,201,HONORARIUMS,Current Restricted Funds,"496,296",R30_B22_01,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,8,Contractual Services,893,Data Processing - Administrative,893,Data Processing - Administrative,Current Restricted Funds,"61,030",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",4,Academic Support,0,Program Generated Automatically,11,Equipment - Additional,1107,Educational Equipment,1107,EDUCATIONAL EQUIPMENT,Current Unrestricted Funds,"13,182,387",R30_B22_04,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Program Generated Automatically,8,Contractual Services,816,Housekeeping,816,HOUSEKEEPING,Current Unrestricted Funds,"15,678",R30_B22_06,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",4,Academic Support,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",102,Additional Assistance,102,ADDITIONAL ASSISTANCE,Current Unrestricted Funds,"5,702,533",R30_B22_04,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,8,Contractual Services,893,Data Processing - Administrative,893,Data Processing - Administrative,Current Unrestricted Funds,"123,265",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",8,Auxiliary Enterprises,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",104,Overtime Earnings,104,OVERTIME EARNINGS,Current Unrestricted Funds,"2,438,529",R30_B22_08,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",174,Unemployment Compensation,174,Unemployment Compensation,Current Restricted Funds,36,R30_B22_05,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",4,Academic Support,0,Program Generated Automatically,3,Communications,302,Telephone,302,Telephone,Current Unrestricted Funds,"4,168,249",R30_B22_04,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Program Generated Automatically,8,Contractual Services,899,Other Contractual Services-Non DP,899,OTHER CONTRACTUAL SERVICES-NON DP,Current Restricted Funds,"6,688",R30_B22_06,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",170,Other Retirement Systems,170,Other Retirement Systems,Current Restricted Funds,"13,094",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",2,Research,0,Program Generated Automatically,2,Technical and Special Fees,201,Honorariums,201,HONORARIUMS,Current Restricted Funds,"1,846,958",R30_B22_02,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Program Generated Automatically,7,Motor Vehicle Operation and Maintenance,701,Purchase Cost Or Lease Cost,701,Purchase Cost Or Lease Cost,Current Unrestricted Funds,"335,466",R30_B22_06,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",1,Instruction,0,Program Generated Automatically,11,Equipment - Additional,1107,Educational Equipment,1107,EDUCATIONAL EQUIPMENT,Current Unrestricted Funds,"898,279",R30_B22_01,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",1,Instruction,0,Program Generated Automatically,8,Contractual Services,899,Other Contractual Services-Non DP,899,OTHER CONTRACTUAL SERVICES-NON DP,Current Restricted Funds,"1,109,504",R30_B22_01,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",174,Unemployment Compensation,174,Unemployment Compensation,Current Unrestricted Funds,"71,595",R30_B22_05,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",175,Workers' Compensation,175,Workers' Compensation,Current Unrestricted Funds,"92,282",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,13,Fixed Charges,1399,Other,1399,OTHER,Current Restricted Funds,"37,587",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",4,Academic Support,0,Program Generated Automatically,13,Fixed Charges,1305,Association Dues,1305,ASSOCIATION DUES,Current Restricted Funds,12,R30_B22_04,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",1,Instruction,0,Program Generated Automatically,3,Communications,301,Postage,301,POSTAGE,Current Unrestricted Funds,"78,478",R30_B22_01,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",2,Research,0,Program Generated Automatically,12,"Grants, Subsidies, and Contributions",1299,"Other Grants, Subsidies and Contributions",1299,"Other Grants, Subsidies and Contributions",Current Unrestricted Funds,"808,591",R30_B22_02,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",4,Academic Support,0,Program Generated Automatically,2,Technical and Special Fees,299,Other - Technical and Special Fees,299,OTHER - TECHNICAL AND SPECIAL FEES,Current Unrestricted Funds,"2,838",R30_B22_04,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",175,Workers' Compensation,175,Workers' Compensation,Current Unrestricted Funds,"1,681,002",R30_B22_06,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",102,Additional Assistance,102,ADDITIONAL ASSISTANCE,Current Unrestricted Funds,"2,489,711",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",2,Research,0,Program Generated Automatically,8,Contractual Services,809,Equipment Repairs and Maintenance,809,EQUIPMENT REPAIRS AND MAINTENANCE,Current Restricted Funds,"589,471",R30_B22_02,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,7,Motor Vehicle Operation and Maintenance,724,Boat Ship Rental/Launching Fees,724,Boat Ship Rental/Launching Fees,Current Unrestricted Funds,800,R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Program Generated Automatically,3,Communications,301,Postage,301,POSTAGE,Current Unrestricted Funds,"440,592",R30_B22_06,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",2,Research,0,Program Generated Automatically,2,Technical and Special Fees,220,Special Payments Payroll,220,Special Payments Payroll,Current Unrestricted Funds,"220,219",R30_B22_02,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,13,Fixed Charges,1304,Subscriptions,1304,Subscriptions,Current Unrestricted Funds,"492,333",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Program Generated Automatically,11,Equipment - Additional,1115,Office Equipment,1115,OFFICE EQUIPMENT,Current Unrestricted Funds,"49,677",R30_B22_06,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",7,Operation and Maintenance of Plant,0,Program Generated Automatically,6,Fuel and Utilities,699,Utilities - Miscellaneous,699,UTILITIES - MISCELLANEOUS,Current Unrestricted Funds,"844,174",R30_B22_07,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,8,Contractual Services,811,Food Services,811,FOOD SERVICES,Current Unrestricted Funds,"414,820",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Program Generated Automatically,9,Supplies and Materials,990,Data Processing Academic/Research,990,Data Processing Academic/Research,Current Unrestricted Funds,"3,176",R30_B22_06,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",17,Scholarships and Fellowships,0,Added Manually,12,"Grants, Subsidies, and Contributions",1204,Educational Grants,1204,EDUCATIONAL GRANTS,Current Restricted Funds,"39,919,205",R30_B22_17,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",8,Auxiliary Enterprises,0,Program Generated Automatically,13,Fixed Charges,1309,Insurance (Non-STO Payments),1309,INSURANCE (NON-STO PAYMENTS),Current Unrestricted Funds,"623,797",R30_B22_08,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,8,Contractual Services,805,Bookbinding/Photographic,805,Bookbinding/Photographic,Current Restricted Funds,655,R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",2,Research,0,Program Generated Automatically,8,Contractual Services,805,Bookbinding/Photographic,805,Bookbinding/Photographic,Current Unrestricted Funds,"23,009",R30_B22_02,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Program Generated Automatically,2,Technical and Special Fees,299,Other - Technical and Special Fees,299,OTHER - TECHNICAL AND SPECIAL FEES,Current Restricted Funds,833,R30_B22_06,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",2,Research,0,Program Generated Automatically,3,Communications,303,Telecommunications,303,Telecommunications,Current Restricted Funds,"3,373",R30_B22_02,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",1,Instruction,0,Program Generated Automatically,9,Supplies and Materials,909,Medical,909,MEDICAL,Current Unrestricted Funds,"112,252",R30_B22_01,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,13,Fixed Charges,1301,Rent (Non-DGS),1301,RENT (NON-DGS),Current Unrestricted Funds,"364,262",R30_B22_03,3,Higher Education
